env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_0,57000000.0,1570.0
atari_alien,dreamerv2,atari_alien_nosched_0,58000000.0,1969.0
atari_alien,dreamerv2,atari_alien_nosched_0,59000000.0,1916.0
atari_alien,dreamerv2,atari_alien_nosched_0,60000000.0,1768.0
atari_alien,dreamerv2,atari_alien_nosched_0,61000000.0,1469.0
atari_alien,dreamerv2,atari_alien_nosched_0,62000000.0,1642.0
atari_alien,dreamerv2,atari_alien_nosched_0,63000000.0,2761.0
atari_alien,dreamerv2,atari_alien_nosched_0,64000000.0,2111.0
atari_alien,dreamerv2,atari_alien_nosched_0,65000000.0,1925.0
atari_alien,dreamerv2,atari_alien_nosched_0,66000000.0,2032.0
atari_alien,dreamerv2,atari_alien_nosched_0,67000000.0,2399.0
atari_alien,dreamerv2,atari_alien_nosched_0,68000000.0,1710.0
atari_alien,dreamerv2,atari_alien_nosched_0,69000000.0,1765.0
atari_alien,dreamerv2,atari_alien_nosched_0,70000000.0,1515.0
atari_alien,dreamerv2,atari_alien_nosched_0,71000000.0,1618.0
atari_alien,dreamerv2,atari_alien_nosched_0,72000000.0,1565.0
atari_alien,dreamerv2,atari_alien_nosched_0,73000000.0,1562.0
atari_alien,dreamerv2,atari_alien_nosched_0,74000000.0,2117.0
atari_alien,dreamerv2,atari_alien_nosched_0,75000000.0,1667.0
atari_alien,dreamerv2,atari_alien_nosched_0,76000000.0,1718.0
atari_alien,dreamerv2,atari_alien_nosched_0,77000000.0,1662.0
atari_alien,dreamerv2,atari_alien_nosched_0,78000000.0,1959.0
atari_alien,dreamerv2,atari_alien_nosched_0,79000000.0,2316.0
atari_alien,dreamerv2,atari_alien_nosched_0,80000000.0,1920.0
atari_alien,dreamerv2,atari_alien_nosched_0,81000000.0,2117.0
atari_alien,dreamerv2,atari_alien_nosched_0,82000000.0,1867.0
atari_alien,dreamerv2,atari_alien_nosched_0,83000000.0,1873.0
atari_alien,dreamerv2,atari_alien_nosched_0,84000000.0,1767.0
atari_alien,dreamerv2,atari_alien_nosched_0,85000000.0,2106.0
atari_alien,dreamerv2,atari_alien_nosched_0,86000000.0,1875.0
atari_alien,dreamerv2,atari_alien_nosched_0,87000000.0,2019.0
atari_alien,dreamerv2,atari_alien_nosched_0,88000000.0,1770.0
atari_alien,dreamerv2,atari_alien_nosched_0,89000000.0,2566.0
atari_alien,dreamerv2,atari_alien_nosched_0,90000000.0,1869.0
atari_alien,dreamerv2,atari_alien_nosched_0,91000000.0,1920.0
atari_alien,dreamerv2,atari_alien_nosched_0,92000000.0,2370.0
atari_alien,dreamerv2,atari_alien_nosched_0,93000000.0,2170.0
atari_alien,dreamerv2,atari_alien_nosched_0,94000000.0,2777.0
atari_alien,dreamerv2,atari_alien_nosched_0,95000000.0,2367.0
atari_alien,dreamerv2,atari_alien_nosched_0,96000000.0,2050.0
atari_alien,dreamerv2,atari_alien_nosched_0,97000000.0,2544.0
atari_alien,dreamerv2,atari_alien_nosched_0,98000000.0,2219.0
atari_alien,dreamerv2,atari_alien_nosched_0,99000000.0,2120.0
atari_alien,dreamerv2,atari_alien_nosched_0,100000000.0,2616.0
atari_alien,dreamerv2,atari_alien_nosched_0,101000000.0,2270.0
atari_alien,dreamerv2,atari_alien_nosched_0,102000000.0,1942.0
atari_alien,dreamerv2,atari_alien_nosched_0,103000000.0,2220.0
atari_alien,dreamerv2,atari_alien_nosched_0,104000000.0,2370.0
atari_alien,dreamerv2,atari_alien_nosched_0,105000000.0,2370.0
atari_alien,dreamerv2,atari_alien_nosched_0,106000000.0,2770.0
